spp,scd,dbh,dbh_cm,tht,tht_m,stm,stm_kg,brk,brk_kg,bch,bch_kg,fol,fol_kg,agb,agb_kg,lon,lat
Pinus echinata,110,11.6,29.464,57,17.37275221,562.9,255.2834467,81.55,36.98412698,95.78,43.43764172,21.87,9.918367347,762.1,345.6235828,-95.572,34.518
Pinus echinata,110,8.5,21.59,54.8,16.70222493,290.97,131.9591837,48.95,22.19954649,30.57,13.86394558,13.27,6.01814059,383.76,174.0408163,-95.572,34.518
Pinus echinata,110,1.8,4.572,14.9,4.541298385,4.75,2.154195011,0.58,0.263038549,0.15,0.068027211,0.2,0.090702948,5.68,2.575963719,-95.572,34.518
Pinus echinata,110,7.4,18.796,57.4,17.49466626,250.7,113.6961451,26.33,11.94104308,32.6,14.7845805,7.78,3.528344671,317.41,143.9501134,-95.572,34.518
Pinus echinata,110,8.5,21.59,57.2,17.43370923,332.89,150.9705215,52.09,23.62358277,62.45,28.32199546,14.13,6.408163265,461.56,209.324263,-95.572,34.518
Pinus echinata,110,8.8,22.352,55.8,17.00701006,415.1,188.2539683,45.75,20.74829932,62.6,28.39002268,16.31,7.396825397,539.76,244.7891156,-95.572,34.518
Pinus echinata,110,11.2,28.448,61.4,18.71380677,616.11,279.414966,65.64,29.76870748,109.38,49.60544218,20.37,9.238095238,811.5,368.0272109,-95.572,34.518
Pinus echinata,110,4.4,11.176,37.7,11.49039927,64.35,29.18367347,11.25,5.102040816,3.29,1.492063492,1.63,0.739229025,80.52,36.5170068,-95.572,34.518
Pinus echinata,110,9.4,23.876,59.6,18.16519354,399.4,181.1337868,38.23,17.33786848,68.62,31.12018141,13.71,6.217687075,519.96,235.8095238,-95.572,34.518
Pinus echinata,110,11.3,28.702,59.9,18.25662908,489.49,221.9909297,81.1,36.78004535,60.44,27.41043084,14.42,6.53968254,645.45,292.7210884,-95.572,34.518
Pinus echinata,110,7.3,18.542,56.6,17.25083816,206.04,93.44217687,32.08,14.54875283,17.56,7.963718821,7.21,3.26984127,262.89,119.2244898,-95.572,34.518
Pinus echinata,110,8,20.32,54.8,16.70222493,318.69,144.5306122,34.3,15.55555556,30.81,13.97278912,8.99,4.077097506,392.79,178.1360544,-95.572,34.518
Pinus echinata,110,13.1,33.274,62.5,19.04907041,832.02,377.3333333,94.32,42.7755102,228.61,103.6780045,39.51,17.91836735,1194.46,541.7052154,-95.572,34.518
Pinus echinata,110,3.8,9.652,44.8,13.65437367,44.27,20.07709751,7.5,3.401360544,2.58,1.170068027,1.06,0.480725624,55.41,25.1292517,-95.572,34.518
Pinus echinata,110,12.7,32.258,54.4,16.58031088,738.69,335.0068027,112.53,51.03401361,137.58,62.39455782,24.63,11.17006803,1013.43,459.6054422,-95.572,34.518
Pinus echinata,110,9.4,23.876,58.3,17.76897287,429.62,194.8390023,44.44,20.15419501,65.62,29.75963719,12.94,5.868480726,552.62,250.6213152,-95.572,34.518
Pinus echinata,110,4.9,12.446,44.8,13.65437367,65.33,29.62811791,11.49,5.210884354,5.02,2.276643991,1.94,0.879818594,83.78,37.99546485,-95.572,34.518
Pinus echinata,110,1.4,3.556,13.7,4.175556233,1.87,0.848072562,1.33,0.603174603,0.52,0.235827664,0.35,0.158730159,4.07,1.845804989,-83.6,34.03
Pinus echinata,110,3.5,8.89,29.7,9.052118257,14.1,6.394557823,5.7,2.585034014,1.72,0.780045351,0.84,0.380952381,22.36,10.14058957,-83.6,34.03
Pinus echinata,110,1.2,3.048,16.1,4.907040536,1.36,0.616780045,0.96,0.43537415,0.15,0.068027211,0.14,0.063492063,2.61,1.183673469,-83.6,34.03
Pinus echinata,110,2.9,7.366,23.9,7.284364523,11.35,5.14739229,3.32,1.505668934,1.1,0.498866213,1.05,0.476190476,16.82,7.628117914,-83.6,34.03
Pinus echinata,110,3,7.62,27.1,8.259676928,15.89,7.206349206,6.38,2.893424036,1.83,0.829931973,1.14,0.517006803,25.24,11.44671202,-83.6,34.03
Pinus echinata,110,3.3,8.382,33.2,10.1188662,27.59,12.51247166,5.22,2.367346939,4.36,1.977324263,2.59,1.174603175,39.76,18.03174603,-83.6,34.03
Pinus echinata,110,1.1,2.794,9.2,2.804023164,0.81,0.367346939,0.46,0.20861678,0.44,0.199546485,0.73,0.33106576,2.44,1.106575964,-83.6,34.03
Pinus echinata,110,1.5,3.81,10.5,3.200243828,1.34,0.607709751,0.84,0.380952381,0.55,0.249433107,0.02,0.009070295,2.75,1.247165533,-83.6,34.03
Pinus echinata,110,1.6,4.064,14.2,4.327948796,1.68,0.761904762,1.18,0.535147392,0.39,0.176870748,0.59,0.267573696,3.84,1.741496599,-83.6,34.03
Pinus echinata,110,1.9,4.826,20.4,6.21761658,4.42,2.004535147,2.03,0.920634921,1.09,0.494331066,0.95,0.430839002,8.49,3.850340136,-83.6,34.03
Pinus echinata,110,2.1,5.334,13.1,3.992685157,3.44,1.560090703,1.78,0.807256236,1.28,0.580498866,1.85,0.839002268,8.35,3.786848073,-83.6,34.03
